KNKX,32.85,-117.10,5640.0,300.0,68.0
KNQX,24.57,-81.60,5880.0,320.0,32.0
KNUC,33.02,-118.59,5640.0,300.0,68.0
KOAK,37.73,-122.20,5600.0,320.0,60.0
KOAX,41.32,-95.60,5610.0,200.0,48.0
KOKC,35.40,-97.60,5610.0,195.0,84.0
KOKX,40.87,-72.86,5670.0,315.0,39.0
KOME,64.50,-165.40,5180.0,175.0,35.0
KOTX,47.70,-116.40,5390.0,350.0,16.0
KOTZ,66.87,-162.60,5200.0,215.0,32.0
KOUN,35.22,-97.40,5610.0,195.0,84.0
KPIA,40.67,-89.60,5690.0,265.0,37.0
KPIT,40.50,-80.20,5710.0,265.0,35.0
KRAP,44.05,-103.00,5490.0,155.0,35.0
KREV,39.57,-118.20,5480.0,330.0,71.0
KRIW,43.07,-108.40,5440.0,130.0,18.0
KRME,43.23,-75.40,5660.0,320.0,47.0
KRNK,37.20,-79.50,5760.0,280.0,24.0
KROL,9.98,-84.20,5870.0,100.0,21.0
KSDQ,18.43,-69.80,5880.0,330.0,17.0
KSGF,37.23,-93.30,5710.0,210.0,38.0
KSHV,32.47,-93.80,5780.0,215.0,60.0
KSIL,30.25,-89.70,5850.0,250.0,34.0
KSLC,40.78,-111.90,5430.0,165.0,11.0
KSLE,44.92,-123.00,5480.0,330.0,70.0
KSNP,57.16,-170.22,5110.0,345.0,9.0
KTBW,27.70,-82.40,5870.0,310.0,31.0
KTFX,47.46,-110.60,5410.0,225.0,20.0
KTLH,30.40,-84.30,5860.0,290.0,32.0
KTOP,39.07,-95.60,5640.0,185.0,39.0
KTUS,32.12,-110.90,5570.0,290.0,82.0
KUIL,47.95,-124.50,5470.0,330.0,59.0
KUNR,44.07,-102.80,5490.0,155.0,35.0
KVEF,36.05,-115.18,5470.0,295.0,52.0
KWAL,37.93,-75.40,5730.0,325.0,44.0
KXKF,32.37,-64.60,5620.0,300.0,46.0
KYAK,59.52,-139.60,5340.0,195.0,22.0
KYMW,46.38,-75.90,5580.0,275.0,38.0
KYXY,60.72,-135.00,5340.0,300.0,17.0
